agency_cd,site_no,datetime,cfs,cfs_cd,day_of_year,water_day,year,month
USGS,9503700,11/28/1963,23,A,332,59,1963,11
USGS,9503700,11/29/1963,23,A,333,60,1963,11
USGS,9503700,11/30/1963,23,A,334,61,1963,11
USGS,9503700,12/1/1963,24,A,335,62,1963,12
USGS,9503700,12/2/1963,24,A,336,63,1963,12
USGS,9503700,12/3/1963,24,A,337,64,1963,12
USGS,9503700,12/4/1963,24,A,338,65,1963,12
USGS,9503700,12/5/1963,24,A,339,66,1963,12
USGS,9503700,12/6/1963,24,A,340,67,1963,12
USGS,9503700,12/7/1963,24,A,341,68,1963,12
USGS,9503700,12/8/1963,24,A,342,69,1963,12
USGS,9503700,12/9/1963,24,A,343,70,1963,12
USGS,9503700,12/10/1963,24,A,344,71,1963,12
USGS,9503700,12/11/1963,24,A,345,72,1963,12
USGS,9503700,12/12/1963,24,A,346,73,1963,12
USGS,9503700,12/13/1963,24,A,347,74,1963,12
USGS,9503700,12/14/1963,24,A,348,75,1963,12
USGS,9503700,12/15/1963,24,A,349,76,1963,12
USGS,9503700,12/16/1963,24,A,350,77,1963,12
USGS,9503700,12/17/1963,24,A,351,78,1963,12
USGS,9503700,12/18/1963,24,A,352,79,1963,12
USGS,9503700,12/19/1963,24,A,353,80,1963,12
USGS,9503700,12/20/1963,24,A,354,81,1963,12
USGS,9503700,12/21/1963,24,A,355,82,1963,12
USGS,9503700,12/22/1963,24,A,356,83,1963,12
USGS,9503700,12/23/1963,24,A,357,84,1963,12
USGS,9503700,12/24/1963,24,A,358,85,1963,12
USGS,9503700,12/25/1963,24,A,359,86,1963,12
USGS,9503700,12/26/1963,24,A,360,87,1963,12
USGS,9503700,12/27/1963,24,A,361,88,1963,12
USGS,9503700,12/28/1963,24,A,362,89,1963,12
USGS,9503700,12/29/1963,24,A,363,90,1963,12
USGS,9503700,12/30/1963,24,A,364,91,1963,12
USGS,9503700,12/31/1963,24,A,365,92,1963,12
USGS,9503700,1/1/1964,24,A,1,93,1964,1
USGS,9503700,1/2/1964,24,A,2,94,1964,1
USGS,9503700,1/3/1964,24,A,3,95,1964,1
USGS,9503700,1/4/1964,24,A,4,96,1964,1
USGS,9503700,1/5/1964,23,A,5,97,1964,1
USGS,9503700,1/6/1964,23,A,6,98,1964,1
USGS,9503700,1/7/1964,23,A,7,99,1964,1
USGS,9503700,1/8/1964,22,A,8,100,1964,1
USGS,9503700,1/9/1964,22,A,9,101,1964,1
USGS,9503700,1/10/1964,22,A,10,102,1964,1
USGS,9503700,1/11/1964,22,A,11,103,1964,1
USGS,9503700,1/12/1964,22,A,12,104,1964,1
USGS,9503700,1/13/1964,22,A,13,105,1964,1
USGS,9503700,1/14/1964,22,A,14,106,1964,1
USGS,9503700,1/15/1964,22,A,15,107,1964,1
USGS,9503700,1/16/1964,22,A,16,108,1964,1
USGS,9503700,1/17/1964,22,A,17,109,1964,1
USGS,9503700,1/18/1964,22,A,18,110,1964,1
USGS,9503700,1/19/1964,22,A,19,111,1964,1
USGS,9503700,1/20/1964,22,A,20,112,1964,1
USGS,9503700,1/21/1964,22,A,21,113,1964,1
USGS,9503700,1/22/1964,22,A,22,114,1964,1
USGS,9503700,1/23/1964,22,A,23,115,1964,1
USGS,9503700,1/24/1964,22,A,24,116,1964,1
USGS,9503700,1/25/1964,22,A,25,117,1964,1
USGS,9503700,1/26/1964,22,A,26,118,1964,1
USGS,9503700,1/27/1964,22,A,27,119,1964,1
USGS,9503700,1/28/1964,22,A,28,120,1964,1
USGS,9503700,1/29/1964,22,A,29,121,1964,1
USGS,9503700,1/30/1964,22,A,30,122,1964,1
USGS,9503700,1/31/1964,22,A,31,123,1964,1
USGS,9503700,2/1/1964,22,A,32,124,1964,2
USGS,9503700,2/2/1964,21,A,33,125,1964,2
USGS,9503700,2/3/1964,21,A,34,126,1964,2
USGS,9503700,2/4/1964,21,A,35,127,1964,2
USGS,9503700,2/5/1964,21,A,36,128,1964,2
USGS,9503700,2/6/1964,20,A,37,129,1964,2
USGS,9503700,2/7/1964,20,A,38,130,1964,2
USGS,9503700,2/8/1964,20,A,39,131,1964,2
USGS,9503700,2/9/1964,20,A,40,132,1964,2
USGS,9503700,2/10/1964,20,A,41,133,1964,2
USGS,9503700,2/11/1964,20,A,42,134,1964,2
USGS,9503700,2/12/1964,20,A,43,135,1964,2
USGS,9503700,2/13/1964,20,A,44,136,1964,2
USGS,9503700,2/14/1964,19,A,45,137,1964,2
USGS,9503700,2/15/1964,19,A,46,138,1964,2
USGS,9503700,2/16/1964,19,A,47,139,1964,2
USGS,9503700,2/17/1964,19,A,48,140,1964,2
USGS,9503700,2/18/1964,19,A,49,141,1964,2
USGS,9503700,2/19/1964,19,A,50,142,1964,2
USGS,9503700,2/20/1964,19,A,51,143,1964,2
USGS,9503700,2/21/1964,19,A,52,144,1964,2
USGS,9503700,2/22/1964,19,A,53,145,1964,2
USGS,9503700,2/23/1964,19,A,54,146,1964,2
USGS,9503700,2/24/1964,18,A,55,147,1964,2
USGS,9503700,2/25/1964,18,A,56,148,1964,2
USGS,9503700,2/26/1964,19,A,57,149,1964,2
USGS,9503700,2/27/1964,19,A,58,150,1964,2
USGS,9503700,2/28/1964,19,A,59,151,1964,2
USGS,9503700,2/29/1964,19,A,60,152,1964,2
USGS,9503700,3/1/1964,19,A,61,153,1964,3
USGS,9503700,3/2/1964,19,A,62,154,1964,3
USGS,9503700,3/3/1964,19,A,63,155,1964,3
USGS,9503700,3/4/1964,19,A,64,156,1964,3
USGS,9503700,3/5/1964,19,A,65,157,1964,3
USGS,9503700,3/6/1964,18,A,66,158,1964,3
USGS,9503700,3/7/1964,18,A,67,159,1964,3
USGS,9503700,3/8/1964,18,A,68,160,1964,3
USGS,9503700,3/9/1964,18,A,69,161,1964,3
USGS,9503700,3/10/1964,18,A,70,162,1964,3
USGS,9503700,3/11/1964,18,A,71,163,1964,3
USGS,9503700,3/12/1964,18,A,72,164,1964,3
USGS,9503700,3/13/1964,18,A,73,165,1964,3
USGS,9503700,3/14/1964,19,A,74,166,1964,3
USGS,9503700,3/15/1964,19,A,75,167,1964,3
USGS,9503700,3/16/1964,19,A,76,168,1964,3
USGS,9503700,3/17/1964,20,A,77,169,1964,3
USGS,9503700,3/18/1964,20,A,78,170,1964,3
USGS,9503700,3/19/1964,20,A,79,171,1964,3
USGS,9503700,3/20/1964,20,A,80,172,1964,3
USGS,9503700,3/21/1964,21,A,81,173,1964,3
USGS,9503700,3/22/1964,20,A,82,174,1964,3
USGS,9503700,3/23/1964,22,A,83,175,1964,3
USGS,9503700,3/24/1964,22,A,84,176,1964,3
USGS,9503700,3/25/1964,22,A,85,177,1964,3
USGS,9503700,3/26/1964,22,A,86,178,1964,3
USGS,9503700,3/27/1964,22,A,87,179,1964,3
USGS,9503700,3/28/1964,23,A,88,180,1964,3
USGS,9503700,3/29/1964,23,A,89,181,1964,3
USGS,9503700,3/30/1964,23,A,90,182,1964,3
USGS,9503700,3/31/1964,23,A,91,183,1964,3
USGS,9503700,4/1/1964,23,A,92,184,1964,4
USGS,9503700,4/2/1964,23,A,93,185,1964,4
USGS,9503700,4/3/1964,24,A,94,186,1964,4
USGS,9503700,4/4/1964,24,A,95,187,1964,4
USGS,9503700,4/5/1964,24,A,96,188,1964,4
USGS,9503700,4/6/1964,23,A,97,189,1964,4
USGS,9503700,4/7/1964,23,A,98,190,1964,4
USGS,9503700,4/8/1964,24,A,99,191,1964,4
USGS,9503700,4/9/1964,23,A,100,192,1964,4
USGS,9503700,4/10/1964,24,A,101,193,1964,4
USGS,9503700,4/11/1964,23,A,102,194,1964,4
USGS,9503700,4/12/1964,23,A,103,195,1964,4
USGS,9503700,4/13/1964,23,A,104,196,1964,4
USGS,9503700,4/14/1964,23,A,105,197,1964,4
USGS,9503700,4/15/1964,23,A,106,198,1964,4
USGS,9503700,4/16/1964,22,A,107,199,1964,4
USGS,9503700,4/17/1964,22,A,108,200,1964,4
USGS,9503700,4/18/1964,22,A,109,201,1964,4
USGS,9503700,4/19/1964,22,A,110,202,1964,4
USGS,9503700,4/20/1964,22,A,111,203,1964,4
USGS,9503700,4/21/1964,22,A,112,204,1964,4
USGS,9503700,4/22/1964,22,A,113,205,1964,4
USGS,9503700,4/23/1964,21,A,114,206,1964,4
USGS,9503700,4/24/1964,21,A,115,207,1964,4
USGS,9503700,4/25/1964,21,A,116,208,1964,4
USGS,9503700,4/26/1964,21,A,117,209,1964,4
USGS,9503700,4/27/1964,20,A,118,210,1964,4
USGS,9503700,4/28/1964,20,A,119,211,1964,4
USGS,9503700,4/29/1964,20,A,120,212,1964,4
USGS,9503700,4/30/1964,19,A,121,213,1964,4
USGS,9503700,5/1/1964,19,A,122,214,1964,5
USGS,9503700,5/2/1964,18,A,123,215,1964,5
USGS,9503700,5/3/1964,18,A,124,216,1964,5
USGS,9503700,5/4/1964,18,A,125,217,1964,5
USGS,9503700,5/5/1964,18,A,126,218,1964,5
USGS,9503700,5/6/1964,17,A,127,219,1964,5
USGS,9503700,5/7/1964,17,A,128,220,1964,5
USGS,9503700,5/8/1964,17,A,129,221,1964,5
USGS,9503700,5/9/1964,16,A,130,222,1964,5
USGS,9503700,5/10/1964,16,A,131,223,1964,5
USGS,9503700,5/11/1964,16,A,132,224,1964,5
USGS,9503700,5/12/1964,16,A,133,225,1964,5
USGS,9503700,5/13/1964,15,A,134,226,1964,5
USGS,9503700,5/14/1964,15,A,135,227,1964,5
USGS,9503700,5/15/1964,15,A,136,228,1964,5
USGS,9503700,5/16/1964,15,A,137,229,1964,5
USGS,9503700,5/17/1964,15,A,138,230,1964,5
USGS,9503700,5/18/1964,15,A,139,231,1964,5
USGS,9503700,5/19/1964,15,A,140,232,1964,5
USGS,9503700,5/20/1964,15,A,141,233,1964,5
USGS,9503700,5/21/1964,15,A,142,234,1964,5
USGS,9503700,5/22/1964,15,A,143,235,1964,5
USGS,9503700,5/23/1964,15,A,144,236,1964,5
USGS,9503700,5/24/1964,16,A,145,237,1964,5
USGS,9503700,5/25/1964,16,A,146,238,1964,5
USGS,9503700,5/26/1964,16,A,147,239,1964,5
USGS,9503700,5/27/1964,16,A,148,240,1964,5
USGS,9503700,5/28/1964,16,A,149,241,1964,5
USGS,9503700,5/29/1964,17,A,150,242,1964,5
USGS,9503700,5/30/1964,17,A,151,243,1964,5
USGS,9503700,5/31/1964,18,A,152,244,1964,5
USGS,9503700,6/1/1964,18,A,153,245,1964,6
USGS,9503700,6/2/1964,18,A,154,246,1964,6
USGS,9503700,6/3/1964,18,A,155,247,1964,6
USGS,9503700,6/4/1964,19,A,156,248,1964,6
USGS,9503700,6/5/1964,19,A,157,249,1964,6
USGS,9503700,6/6/1964,19,A,158,250,1964,6
USGS,9503700,6/7/1964,19,A,159,251,1964,6
USGS,9503700,6/8/1964,19,A,160,252,1964,6
USGS,9503700,6/9/1964,19,A,161,253,1964,6
USGS,9503700,6/10/1964,20,A,162,254,1964,6
USGS,9503700,6/11/1964,19,A,163,255,1964,6
USGS,9503700,6/12/1964,19,A,164,256,1964,6
USGS,9503700,6/13/1964,20,A,165,257,1964,6
USGS,9503700,6/14/1964,20,A,166,258,1964,6
USGS,9503700,6/15/1964,20,A,167,259,1964,6
USGS,9503700,6/16/1964,20,A,168,260,1964,6
USGS,9503700,6/17/1964,20,A,169,261,1964,6
USGS,9503700,6/18/1964,20,A,170,262,1964,6
USGS,9503700,6/19/1964,20,A,171,263,1964,6
USGS,9503700,6/20/1964,20,A,172,264,1964,6
USGS,9503700,6/21/1964,20,A,173,265,1964,6
USGS,9503700,6/22/1964,21,A,174,266,1964,6
USGS,9503700,6/23/1964,21,A,175,267,1964,6
USGS,9503700,6/24/1964,21,A,176,268,1964,6
USGS,9503700,6/25/1964,21,A,177,269,1964,6
USGS,9503700,6/26/1964,22,A,178,270,1964,6
USGS,9503700,6/27/1964,22,A,179,271,1964,6
USGS,9503700,6/28/1964,25,A,180,272,1964,6
USGS,9503700,6/29/1964,23,A,181,273,1964,6
USGS,9503700,6/30/1964,22,A,182,274,1964,6
USGS,9503700,7/1/1964,23,A,183,275,1964,7
USGS,9503700,7/2/1964,22,A,184,276,1964,7
USGS,9503700,7/3/1964,23,A,185,277,1964,7
USGS,9503700,7/4/1964,23,A,186,278,1964,7
USGS,9503700,7/5/1964,22,A,187,279,1964,7
USGS,9503700,7/6/1964,22,A,188,280,1964,7
USGS,9503700,7/7/1964,23,A,189,281,1964,7
USGS,9503700,7/8/1964,22,A,190,282,1964,7
USGS,9503700,7/9/1964,23,A,191,283,1964,7
USGS,9503700,7/10/1964,23,A,192,284,1964,7
USGS,9503700,7/11/1964,23,A,193,285,1964,7
USGS,9503700,7/12/1964,23,A,194,286,1964,7
USGS,9503700,7/13/1964,23,A,195,287,1964,7
USGS,9503700,7/14/1964,23,A,196,288,1964,7
USGS,9503700,7/15/1964,23,A,197,289,1964,7
USGS,9503700,7/16/1964,23,A,198,290,1964,7
USGS,9503700,7/17/1964,22,A,199,291,1964,7
USGS,9503700,7/18/1964,22,A,200,292,1964,7
USGS,9503700,7/19/1964,22,A,201,293,1964,7
USGS,9503700,7/20/1964,22,A,202,294,1964,7
USGS,9503700,7/21/1964,22,A,203,295,1964,7
USGS,9503700,7/22/1964,28,A,204,296,1964,7
USGS,9503700,7/23/1964,23,A,205,297,1964,7
USGS,9503700,7/24/1964,22,A,206,298,1964,7
USGS,9503700,7/25/1964,22,A,207,299,1964,7
USGS,9503700,7/26/1964,22,A,208,300,1964,7
USGS,9503700,7/27/1964,21,A,209,301,1964,7
USGS,9503700,7/28/1964,21,A,210,302,1964,7
USGS,9503700,7/29/1964,20,A,211,303,1964,7
USGS,9503700,7/30/1964,21,A,212,304,1964,7
USGS,9503700,7/31/1964,32,A,213,305,1964,7
USGS,9503700,8/1/1964,201,A,214,306,1964,8
USGS,9503700,8/2/1964,398,A,215,307,1964,8
USGS,9503700,8/3/1964,261,A,216,308,1964,8
USGS,9503700,8/4/1964,120,A,217,309,1964,8
USGS,9503700,8/5/1964,100,A,218,310,1964,8
USGS,9503700,8/6/1964,100,A,219,311,1964,8
USGS,9503700,8/7/1964,100,A,220,312,1964,8
USGS,9503700,8/8/1964,100,A,221,313,1964,8
USGS,9503700,8/9/1964,100,A,222,314,1964,8
USGS,9503700,8/10/1964,100,A,223,315,1964,8
USGS,9503700,8/11/1964,100,A,224,316,1964,8
USGS,9503700,8/12/1964,100,A,225,317,1964,8
USGS,9503700,8/13/1964,100,A,226,318,1964,8
USGS,9503700,8/14/1964,25,A,227,319,1964,8
USGS,9503700,8/15/1964,25,A,228,320,1964,8
USGS,9503700,8/16/1964,25,A,229,321,1964,8
USGS,9503700,8/17/1964,25,A,230,322,1964,8
USGS,9503700,8/18/1964,24,A,231,323,1964,8
USGS,9503700,8/19/1964,38,A,232,324,1964,8
USGS,9503700,8/20/1964,97,A,233,325,1964,8
USGS,9503700,8/21/1964,42,A,234,326,1964,8
USGS,9503700,8/22/1964,28,A,235,327,1964,8
USGS,9503700,8/23/1964,24,A,236,328,1964,8
USGS,9503700,8/24/1964,23,A,237,329,1964,8
USGS,9503700,8/25/1964,23,A,238,330,1964,8
USGS,9503700,8/26/1964,41,A,239,331,1964,8
USGS,9503700,8/27/1964,76,A,240,332,1964,8
USGS,9503700,8/28/1964,37,A,241,333,1964,8
USGS,9503700,8/29/1964,27,A,242,334,1964,8
USGS,9503700,8/30/1964,24,A,243,335,1964,8
USGS,9503700,8/31/1964,24,A,244,336,1964,8
USGS,9503700,9/1/1964,23,A,245,337,1964,9
USGS,9503700,9/2/1964,23,A,246,338,1964,9
USGS,9503700,9/3/1964,23,A,247,339,1964,9
USGS,9503700,9/4/1964,23,A,248,340,1964,9
USGS,9503700,9/5/1964,22,A,249,341,1964,9
USGS,9503700,9/6/1964,22,A,250,342,1964,9
USGS,9503700,9/7/1964,23,A,251,343,1964,9
USGS,9503700,9/8/1964,23,A,252,344,1964,9
USGS,9503700,9/9/1964,22,A,253,345,1964,9
USGS,9503700,9/10/1964,22,A,254,346,1964,9
USGS,9503700,9/11/1964,22,A,255,347,1964,9
USGS,9503700,9/12/1964,23,A,256,348,1964,9
USGS,9503700,9/13/1964,22,A,257,349,1964,9
USGS,9503700,9/14/1964,24,A,258,350,1964,9
USGS,9503700,9/15/1964,21,A,259,351,1964,9
USGS,9503700,9/16/1964,21,A,260,352,1964,9
USGS,9503700,9/17/1964,21,A,261,353,1964,9
USGS,9503700,9/18/1964,30,A,262,354,1964,9
USGS,9503700,9/19/1964,32,A,263,355,1964,9
USGS,9503700,9/20/1964,24,A,264,356,1964,9
USGS,9503700,9/21/1964,22,A,265,357,1964,9
USGS,9503700,9/22/1964,21,A,266,358,1964,9
USGS,9503700,9/23/1964,21,A,267,359,1964,9
USGS,9503700,9/24/1964,26,A,268,360,1964,9
USGS,9503700,9/25/1964,22,A,269,361,1964,9
USGS,9503700,9/26/1964,57,A,270,362,1964,9
USGS,9503700,9/27/1964,26,A,271,363,1964,9
USGS,9503700,9/28/1964,23,A,272,364,1964,9
USGS,9503700,9/29/1964,22,A,273,365,1964,9
USGS,9503700,9/30/1964,22,A,274,366,1964,9
USGS,9503700,10/1/1964,22,A,275,1,1964,10
USGS,9503700,10/2/1964,22,A,276,2,1964,10
USGS,9503700,10/3/1964,22,A,277,3,1964,10
USGS,9503700,10/4/1964,22,A,278,4,1964,10
USGS,9503700,10/5/1964,22,A,279,5,1964,10
USGS,9503700,10/6/1964,22,A,280,6,1964,10
USGS,9503700,10/7/1964,22,A,281,7,1964,10
USGS,9503700,10/8/1964,22,A,282,8,1964,10
USGS,9503700,10/9/1964,22,A,283,9,1964,10
USGS,9503700,10/10/1964,22,A,284,10,1964,10
USGS,9503700,10/11/1964,22,A,285,11,1964,10
USGS,9503700,10/12/1964,22,A,286,12,1964,10
USGS,9503700,10/13/1964,22,A,287,13,1964,10
USGS,9503700,10/14/1964,22,A,288,14,1964,10
USGS,9503700,10/15/1964,22,A,289,15,1964,10
USGS,9503700,10/16/1964,23,A,290,16,1964,10
USGS,9503700,10/17/1964,23,A,291,17,1964,10
USGS,9503700,10/18/1964,23,A,292,18,1964,10
USGS,9503700,10/19/1964,23,A,293,19,1964,10
USGS,9503700,10/20/1964,23,A,294,20,1964,10
USGS,9503700,10/21/1964,23,A,295,21,1964,10
USGS,9503700,10/22/1964,23,A,296,22,1964,10
USGS,9503700,10/23/1964,23,A,297,23,1964,10
USGS,9503700,10/24/1964,23,A,298,24,1964,10
USGS,9503700,10/25/1964,22,A,299,25,1964,10
USGS,9503700,10/26/1964,22,A,300,26,1964,10
USGS,9503700,10/27/1964,22,A,301,27,1964,10
USGS,9503700,10/28/1964,22,A,302,28,1964,10
USGS,9503700,10/29/1964,21,A,303,29,1964,10
USGS,9503700,10/30/1964,21,A,304,30,1964,10
USGS,9503700,10/31/1964,21,A,305,31,1964,10
USGS,9503700,11/1/1964,21,A,306,32,1964,11
USGS,9503700,11/2/1964,21,A,307,33,1964,11
USGS,9503700,11/3/1964,21,A,308,34,1964,11
USGS,9503700,11/4/1964,21,A,309,35,1964,11
USGS,9503700,11/5/1964,21,A,310,36,1964,11
USGS,9503700,11/6/1964,20,A,311,37,1964,11
USGS,9503700,11/7/1964,20,A,312,38,1964,11
USGS,9503700,11/8/1964,20,A,313,39,1964,11
USGS,9503700,11/9/1964,20,A,314,40,1964,11
USGS,9503700,11/10/1964,20,A,315,41,1964,11
USGS,9503700,11/11/1964,20,A,316,42,1964,11
USGS,9503700,11/12/1964,20,A,317,43,1964,11
USGS,9503700,11/13/1964,20,A,318,44,1964,11
USGS,9503700,11/14/1964,20,A,319,45,1964,11
USGS,9503700,11/15/1964,21,A,320,46,1964,11
USGS,9503700,11/16/1964,21,A,321,47,1964,11
USGS,9503700,11/17/1964,20,A,322,48,1964,11
USGS,9503700,11/18/1964,20,A,323,49,1964,11
USGS,9503700,11/19/1964,20,A,324,50,1964,11
USGS,9503700,11/20/1964,20,A,325,51,1964,11
USGS,9503700,11/21/1964,20,A,326,52,1964,11
USGS,9503700,11/22/1964,20,A,327,53,1964,11
USGS,9503700,11/23/1964,20,A,328,54,1964,11
USGS,9503700,11/24/1964,20,A,329,55,1964,11
